config_id,parity_name,train_avg_U,train_min_U,train_max_U,train_FS_pass,train_edge,test_avg_U,test_min_U,test_max_U,test_FS_pass,test_edge,test_winner_fail_sum,test_winner_fail_parity,test_winner_fail_uniques,test_winner_fail_consecutive,test_winner_fail_mirror_prev,test_draws,train_draws
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":4,""sum_max"":37,""sum_min"":8}",balanced_only,53507.463131647244,53507,53508,0.536868352755585,0.0017937214391124945,53507.46509261144,53507,53508,0.5349073885609608,-0.0001672623651536309,79,1848,958,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":4,""sum_max"":37,""sum_min"":8}",balanced_only,53049.955473003916,52967,53508,0.5325428731362272,0.0020433184061879883,53050.16120496642,52967,53508,0.5298188479544067,-0.000682764095257471,79,1848,958,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":33,""sum_min"":12}",balanced_only,50648.6648007735,50636,50672,0.5073024273573864,0.0008157793496513799,50648.778139629554,50636,50672,0.5058009362914716,-0.0006868451048239743,432,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",allow_all,86085.00442725561,85992,86588,0.8600071243193731,-0.0008429199531829745,86085.68512110726,85994,86540,0.8599633625076328,-0.0008934887034398598,605,0,60,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":4,""sum_max"":33,""sum_min"":12}",balanced_only,50671.49234135667,50671,50672,0.5076586433260394,0.0009437199124726625,50671.49419906371,50671,50672,0.5058009362914716,-0.0009140056991654433,432,1848,958,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",allow_all,86788.10599969467,86782,86828,0.8661645717775177,-0.0017164882194290465,86788.16731121515,86782,86828,0.8668837777325463,-0.0009978953796051515,605,0,60,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":35,""sum_min"":10}",balanced_only,52539.78469289095,52528,52564,0.5264363136736044,0.001038466744694988,52539.882352941175,52528,52564,0.5243232240993283,-0.001075599430083396,207,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",balanced_only,57225.67543636456,57216,57252,0.5724899496208844,0.00023319525723874968,57225.757785467125,57216,57252,0.5711377976796255,-0.0011197801750457703,432,1848,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",relaxed,91971.69355249096,91968,92014,0.9186300951605516,-0.0010868403643580216,91971.66354569509,91968,92014,0.9185833502951354,-0.0011332851618155448,207,144,60,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",allow_all,86827.13332654827,86827,86828,0.8666225637372144,-0.0016487695282683124,86827.13291268064,86827,86828,0.8670873193568085,-0.0011840097699978847,605,0,60,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",relaxed,91226.6783369803,91159,91604,0.9122182077247977,-4.857564500537759e-05,91226.2340728679,91160,91514,0.9110523101974354,-0.0012100305312435777,207,144,60,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",allow_all,90170.53086356928,90166,90212,0.8999542008040303,-0.0017511078316624351,90170.57093425606,90166,90212,0.900468145735803,-0.0012375636067575302,432,0,60,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",allow_all,89439.98346140145,89367,89900,0.8935932013637983,-0.0008066332502162377,89440.48972114797,89367,89846,0.8931406472623652,-0.0012642499491144488,432,0,60,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",allow_all,97317.80927179278,97302,97512,0.9749631062032467,0.0017850134853188981,97317.88703439853,97302,97482,0.9719112558518217,-0.0012676144921636157,79,0,1,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",allow_all,98112.84133122997,98112,98144,0.9820365375807847,0.0009081242684849666,98112.84490128231,98112,98140,0.979849379198046,-0.0012790698147771007,79,0,1,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":4,""sum_max"":35,""sum_min"":10}",balanced_only,52563.47320747036,52563,52564,0.5267925296422574,0.0011577975675538532,52563.4756767759,52563,52564,0.5243232240993283,-0.0013115326684307593,207,1848,958,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":31,""sum_min"":14}",allow_all,82466.10946007837,82458,82504,0.8246399674316829,-2.1127169100854104e-05,82466.18909016893,82458,82504,0.8233258701404437,-0.0013360207612456154,822,0,60,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",relaxed,92013.08086102488,92013,92014,0.9190880871202484,-0.0010427214900003978,92013.08100956645,92013,92014,0.9187868919193976,-0.0013439181762668895,207,144,60,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",allow_all,94720.4148389395,94718,94764,0.9469238206707038,-0.00028032771869113127,94720.42641970282,94718,94764,0.945857927946265,-0.0013463362507631915,207,0,60,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",balanced_only,57251.42715383441,57251,57252,0.5728461655895374,0.0003318940511932711,57251.42886220232,57251,57252,0.5711377976796255,-0.001376490942397779,432,1848,1,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",balanced_only,56885.829525215,56876,56912,0.5690804539209201,0.00022215866877006718,56885.91349480969,56876,56912,0.5674740484429066,-0.0013850865051903138,432,1848,60,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",relaxed,87561.74576357438,87556,87602,0.8730344511729683,-0.002583006462775428,87561.74923671891,87556,87602,0.8742112762059842,-0.001406216161204954,432,144,60,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",allow_all,93952.91771411125,93909,94286,0.9401557172662969,0.0006265401251843716,93953.08955831468,93909,94244,0.9381233462243028,-0.001407549358843907,207,0,60,18,42,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",relaxed,86852.53559615287,86757,87312,0.8670296677013892,-0.0014956882601394605,86852.47018115205,86758,87236,0.8670873193568085,-0.0014373824547120329,432,144,60,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",allow_all,90211.09948603125,90211,90212,0.9004630807592489,-0.0016479141010636855,90211.09932831264,90211,90212,0.9006716873600651,-0.001439305923061407,432,0,60,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":4,""sum_max"":33,""sum_min"":12}",balanced_only,50238.275762047735,50137,50672,0.5037402676708564,0.001357510050379096,50238.72603297374,50137,50672,0.5009159373091797,-0.0014713230205576355,432,1848,958,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":29,""sum_min"":16}",allow_all,70735.51244211491,70722,70768,0.7054093939239733,-0.001945730497175835,70735.6442092408,70722,70768,0.7058823529411765,-0.0014740891512314835,1407,0,60,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":31,""sum_min"":14}",allow_all,82503.17490204061,82503,82504,0.8249961834003359,-3.556562007023256e-05,82503.17667412986,82503,82504,0.8235294117647058,-0.0015023549765927902,822,0,60,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",allow_all,98157.01740369447,98157,98158,0.9825454175360032,0.0009752434990585312,98157.01974353756,98157,98158,0.9800529208223082,-0.001517276613067331,79,0,1,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":35,""sum_min"":10}",allow_all,94763.05251641138,94763,94764,0.9474327006259223,-0.00019782453819150447,94763.0537349888,94763,94764,0.9460614695705272,-0.0015690677793608332,207,0,60,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",balanced_only,56762.14421657931,56666,57122,0.5686224619612233,0.0010010197954302136,56762.83106045186,56666,57122,0.5660492570730714,-0.001579053531447272,432,1848,1,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":31,""sum_min"":14}",allow_all,81798.09373568775,81684,82330,0.8190422879242787,0.001061350567401087,81798.96702625687,81686,82288,0.8164054549155302,-0.0015842153470384535,822,0,60,18,42,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":29,""sum_min"":16}",allow_all,70767.2941835021,70767,70768,0.7057656098926264,-0.0019073319423946744,70767.29411764706,70767,70768,0.7060858945654387,-0.0015870466110319281,1407,0,60,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",relaxed,87601.12645666888,87601,87602,0.873492443132665,-0.0025188214340237103,87601.12558518218,87601,87602,0.8744148178302463,-0.001596438021575497,432,144,60,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",balanced_only,56911.43056333011,56911,56912,0.5694366698895731,0.0003223642562719675,56911.43252595155,56911,56912,0.5674740484429066,-0.0016402768166089432,432,1848,60,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":31,""sum_min"":14}",balanced_only,52419.90885960002,52408,52444,0.5256221057452547,0.001423017149254524,52420.02544270303,52408,52444,0.5224913494809689,-0.0017089049460614625,822,1848,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",relaxed,87536.66739606127,87438,87994,0.8736451071192306,-0.0017215668413820273,87536.57704050478,87437,87910,0.8736006513331976,-0.0017651190718501741,432,144,1,18,42,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",relaxed,88251.42883313826,88246,88292,0.8797007785863314,-0.0028135097450511237,88251.42194178709,88246,88292,0.8807246081823733,-0.0017896112354975902,432,144,1,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":33,""sum_min"":12}",balanced_only,56425.032517429136,56332,56790,0.5652129662612589,0.0009626410869675306,56425.71341339304,56332,56790,0.5623855078363525,-0.0018716262975778664,432,1848,60,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":4,""sum_max"":35,""sum_min"":10}",balanced_only,52114.05506081115,52023,52564,0.522670602004987,0.0015300513968755647,52114.31202930999,52023,52564,0.5192346834927742,-0.001908436800325708,207,1848,958,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":32,""sum_min"":13}",balanced_only,54822.79751666582,54812,54848,0.5490305836853087,0.0008026085186504384,54822.89924689599,54812,54848,0.5463057195196418,-0.0019232729493181555,605,1848,1,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":31,""sum_min"":14}",balanced_only,52443.47417434227,52443,52444,0.5258256577273421,0.001390915983919383,52443.47750865052,52443,52444,0.5224913494809689,-0.0019434256055362864,822,1848,1,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":31,""sum_min"":14}",balanced_only,46602.54455244008,46588,46624,0.4681695588010788,0.002144113276678017,46602.686138815385,46588,46624,0.4640749033177285,-0.0019519580704253636,822,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":33,""sum_min"":12}",relaxed,88291.11979034146,88291,88292,0.8801587705460282,-0.0027524273573863445,88291.11907185019,88291,88292,0.8809281498066355,-0.001983040911866407,432,144,1,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",moderate,91385.94646582872,91382,91428,0.9142028395501501,0.00034337489186297976,91385.97516792185,91382,91428,0.9118664766944841,-0.00199327498473445,79,315,60,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",relaxed,83656.15973741794,83543,84138,0.8346649025494886,-0.0018966948246909032,83656.34866680235,83544,84090,0.8345206594748626,-0.0020428271931608455,605,144,60,18,42,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":35,""sum_min"":10}",relaxed,92736.341000458,92733,92775,0.9260597425067426,-0.0013036674978372798,92736.30266639528,92733,92771,0.9253002238957867,-0.002062802768166061,207,144,1,18,2,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":29,""sum_min"":16}",allow_all,70162.70953132155,70029,70692,0.7006259223449188,-0.0010011729682967152,70163.82658253613,70031,70662,0.6995725625890494,-0.0020657032363118333,1407,0,60,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":29,""sum_min"":16}",balanced_only,45067.29382728614,45052,45088,0.4504605363594728,-0.0002124019133886157,45067.43415428455,45052,45088,0.4486057398738042,-0.0020686016690413256,1407,1848,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":35,""sum_min"":10}",relaxed,91985.16212915373,91923,92357,0.9195969670754669,-0.0002546542160704046,91984.71626297578,91923,92267,0.9177691837980867,-0.0020779788316711567,207,144,1,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":29,""sum_min"":16}",balanced_only,40409.40435601242,40392,40428,0.40511933234949876,0.0010252887893745788,40409.549358843884,40392,40428,0.4019947079177692,-0.002100785670669625,1407,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",moderate,90645.42791715435,90597,90916,0.9076891761233525,0.0012348969518091168,90645.63403215958,90597,90916,0.9043354365967841,-0.0021209037248117735,79,315,60,18,42,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":32,""sum_min"":13}",relaxed,84275.85201770902,84152,84751,0.8405170220345021,-0.0022414981425882274,84276.03073478526,84152,84703,0.8406269082027275,-0.0021333991451252254,605,144,1,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":4,""sum_max"":30,""sum_min"":15}",balanced_only,43507.971757162486,43492,43528,0.4361101216223093,0.0010304040506844414,43508.12354976593,43492,43528,0.43293303480561773,-0.0021482006920415797,1091,1848,958,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",relaxed,84339.24522925042,84332,84378,0.8404661340389802,-0.002926318253523963,84339.27498473438,84332,84378,0.841237533075514,-0.0021552167718298376,605,144,60,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":4,""sum_max"":31,""sum_min"":14}",balanced_only,46623.53162688922,46623,46624,0.46837311078316624,0.0021377945142740384,46623.53592509668,46623,46624,0.4640749033177285,-0.0021604559332383255,822,1848,958,18,1,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":32,""sum_min"":13}",balanced_only,54847.45066408834,54847,54848,0.5493359116584398,0.0008614050175563825,54847.45369428048,54847,54848,0.5463057195196418,-0.002168817423162994,605,1848,1,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",moderate,91995.66490254948,91992,92029,0.9202076230217292,0.00025097399623430494,91995.6938733971,91992,92029,0.9177691837980867,-0.0021877549358843007,79,315,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":37,""sum_min"":8}",moderate,91427.08528828049,91427,91428,0.9146608315098468,0.0003899786270419314,91427.08772644006,91427,91428,0.9120700183187462,-0.0022008589456543604,79,315,60,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":32,""sum_min"":13}",allow_all,86888.09902803929,86786,87386,0.8677420996386952,-0.0011388906416976985,86888.86322002849,86787,87338,0.8666802361082842,-0.0022083960920007417,605,0,1,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":30,""sum_min"":15}",balanced_only,48745.596967075464,48732,48768,0.48689634115312197,-0.0005596285176326932,48745.73580297171,48732,48768,0.4852432322409933,-0.002214125788723764,1091,1848,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":2,""min_unique_digits"":2,""sum_max"":37,""sum_min"":8}",moderate,91250.23291435551,91207,91509,0.9136939595949316,0.0011916304513764908,91250.47628740077,91207,91509,0.9102381437003867,-0.0022666191736210317,79,315,1,18,42,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":29,""sum_min"":16}",balanced_only,45087.54933591166,45087,45088,0.45066408834156024,-0.0002114050175563431,45087.551394260125,45087,45088,0.4486057398738042,-0.002269774068797026,1407,1848,1,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":2,""sum_max"":35,""sum_min"":10}",relaxed,92778.07343137753,92778,92779,0.9265177344664394,-0.0012629998473359105,92778.07429269285,92778,92779,0.9255037655200489,-0.002276977406879599,207,144,1,18,1,4913,19651
"{""allowed_even_counts"":[0,1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":29,""sum_min"":16}",allow_all,71345.22940308381,71332,71378,0.7110579614268994,-0.0023943326039387314,71345.35965805007,71332,71378,0.7111744351719926,-0.0022791614085081457,1407,0,1,18,2,4913,19651
"{""allowed_even_counts"":[2,3],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":4,""sum_max"":29,""sum_min"":16}",balanced_only,40427.59467711567,40427,40428,0.4053228843315862,0.0010469375604295061,40427.59800529208,40427,40428,0.4019947079177692,-0.002281272135151613,1407,1848,958,18,1,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":3,""min_unique_digits"":2,""sum_max"":32,""sum_min"":13}",relaxed,84963.95954404357,84957,85003,0.8463691415195156,-0.003270453920920069,84963.98086708732,84957,85003,0.8473437818033788,-0.002296026867494416,605,144,1,18,2,4913,19651
"{""allowed_even_counts"":[1,2,3,4,5],""max_consecutive_run"":3,""max_positional_repeats_vs_prev"":4,""min_unique_digits"":3,""sum_max"":32,""sum_min"":13}",relaxed,84377.159075874,84377,84378,0.840873238003155,-0.002898352755585032,84377.1585589253,84377,84378,0.8414410746997761,-0.002330510889476778,605,144,60,18,1,4913,19651
